Ticker,Date/Time,Open,High,Low,Close,Volume
CTD,10/23/2018 0:00,104.32,104.32,100.59,101.35,139680
CTD,10/24/2018 0:00,100.32,102.04,99.97,99.97,54090
CTD,10/25/2018 0:00,96.52,99.9,96.52,99.28,42890
CTD,10/26/2018 0:00,100.66,101.35,96.52,97.9,93570
CTD,10/29/2018 0:00,97.28,97.9,95.9,95.9,73120
CTD,10/30/2018 0:00,95.84,98.45,95.49,96.52,82480
CTD,10/31/2018 0:00,98.94,100.39,97.9,100.39,99370
CTD,11/1/2018 0:00,100.39,101.49,100.32,101.35,65150
CTD,11/2/2018 0:00,100.73,105.07,100.73,104.45,92460
CTD,11/5/2018 0:00,104.45,104.66,103.42,104.25,55960
CTD,11/6/2018 0:00,104.25,105.14,103.49,104.8,59490
CTD,11/7/2018 0:00,104.45,105,103.56,104.8,76160
CTD,11/8/2018 0:00,104.94,104.94,104.11,104.8,32920
CTD,11/9/2018 0:00,103.49,104.73,103.21,103.35,40270
CTD,11/12/2018 0:00,102.04,102.04,100.66,101.83,20690
CTD,11/13/2018 0:00,98.25,101.28,98.25,99.97,59500
CTD,11/14/2018 0:00,99.97,102.18,99.97,100.66,47960
CTD,11/15/2018 0:00,100.66,101.97,100.32,100.32,82760
CTD,11/16/2018 0:00,101.35,101.97,100.25,101.97,67630
CTD,11/19/2018 0:00,102.73,104.11,102.04,103.42,65950
CTD,11/20/2018 0:00,103.42,104.11,103.07,104.11,150980
CTD,11/21/2018 0:00,104.04,105.83,103.42,105.83,254590
CTD,11/22/2018 0:00,106.73,106.73,105.35,105.83,18320
CTD,11/23/2018 0:00,105.56,105.56,104.45,104.59,22320
CTD,11/26/2018 0:00,101.35,104.59,101.35,103.76,55340
CTD,11/27/2018 0:00,106.18,107.62,106.18,106.87,190240
CTD,11/28/2018 0:00,106.87,108.93,106.87,108.45,80420
CTD,11/29/2018 0:00,109.21,109.21,107.56,108.25,53610
CTD,11/30/2018 0:00,108.25,108.25,106.25,107.21,20730
CTD,12/3/2018 0:00,107.21,109.62,106.66,109.62,125680
CTD,12/4/2018 0:00,109.62,109.97,108.18,108.25,70780
CTD,12/5/2018 0:00,107.21,108.25,107.21,108.25,88330
CTD,12/6/2018 0:00,107.21,108.25,107.21,108.25,42350
CTD,12/7/2018 0:00,108.25,109.56,107.56,109.28,120190
CTD,12/10/2018 0:00,108.59,108.93,106.87,106.87,130120
CTD,12/11/2018 0:00,106.87,108.18,106.87,107.97,56680
CTD,12/12/2018 0:00,107.56,109.28,107.56,108.11,143600
CTD,12/13/2018 0:00,108.11,110.31,108.11,109.9,416100
CTD,12/14/2018 0:00,110.31,111.69,109.97,111.35,711220
CTD,12/17/2018 0:00,110.31,111.35,110.18,110.38,240920
CTD,12/18/2018 0:00,109,110.87,109,110.66,469010
CTD,12/19/2018 0:00,110.31,111,108.25,108.59,242460
CTD,12/20/2018 0:00,107.9,109.62,107.9,108.93,281280
CTD,12/21/2018 0:00,108.38,109.56,108.38,109.28,575190
CTD,12/24/2018 0:00,109.28,110.04,109.28,109.76,658160
CTD,12/25/2018 0:00,108.93,109.49,107.56,108.66,421850
CTD,12/26/2018 0:00,108.66,108.93,107.9,108.93,599010
CTD,12/27/2018 0:00,109.62,110.73,108.93,110.45,528550
CTD,12/28/2018 0:00,110.45,111,109.35,110.31,398730
CTD,1/2/2019 0:00,110.04,110.31,108.93,110.31,141770
CTD,1/3/2019 0:00,110.31,110.31,108.93,109.97,235330
CTD,1/4/2019 0:00,109.97,109.97,107.56,109.97,84680
CTD,1/7/2019 0:00,110.31,110.31,109.21,110.31,138860
CTD,1/8/2019 0:00,110.45,110.45,109.07,110.24,28020
CTD,1/9/2019 0:00,110.18,111.69,108.93,110.31,180320
CTD,1/10/2019 0:00,110.31,111.69,108.93,110.31,121380
CTD,1/11/2019 0:00,110.31,111.21,109.28,109.28,44820
CTD,1/14/2019 0:00,109.28,109.97,107.56,107.56,37180
CTD,1/15/2019 0:00,107.56,107.76,106.52,106.52,69370
CTD,1/16/2019 0:00,106.31,107.35,102.87,102.87,96130
CTD,1/17/2019 0:00,102.87,103.69,102.18,102.18,47900
CTD,1/18/2019 0:00,102.18,103.56,101.35,101.97,37110
CTD,1/21/2019 0:00,101.97,103.28,101.97,103.01,35980
CTD,1/22/2019 0:00,103.14,103.14,98.59,98.59,143900
CTD,1/23/2019 0:00,97.9,97.9,94.53,94.53,157950
CTD,1/24/2019 0:00,94.53,95.84,90.25,90.66,213090
CTD,1/25/2019 0:00,90.66,92.39,89.97,90.66,290530
CTD,1/28/2019 0:00,91.7,94.46,91.7,94.39,69770
CTD,1/29/2019 0:00,95.08,95.08,93.08,93.97,32410
CTD,1/30/2019 0:00,93.77,93.77,91.7,92.73,63770
CTD,1/31/2019 0:00,92.73,93.42,91.7,92.94,34920
CTD,2/1/2019 0:00,92.94,93.08,91.28,91.28,90810
CTD,2/11/2019 0:00,91.28,93.28,91.28,93.28,40590
CTD,2/12/2019 0:00,93.28,94.18,92.39,92.8,82210
CTD,2/13/2019 0:00,92.8,93.56,92.04,92.32,153870
CTD,2/14/2019 0:00,93.08,94.94,92.94,94.66,207410
CTD,2/15/2019 0:00,95.15,96.59,94.94,96.18,101750
CTD,2/18/2019 0:00,96.18,97.01,96.18,96.25,55960
